,Day,Hour,Keypresses,keypresses_over_last_24_hours
403,2020-10-07,19,1981,36818.0
404,2020-10-07,20,5710,40343.0
405,2020-10-07,21,3741,42786.0
406,2020-10-07,22,6353,46481.0
407,2020-10-07,23,4638,47218.0
408,2020-10-08,0,6072,50441.0
409,2020-10-08,1,281,47709.0
410,2020-10-08,2,0,47709.0
411,2020-10-08,3,0,47709.0
412,2020-10-08,4,0,47709.0
413,2020-10-08,5,0,47709.0
414,2020-10-08,6,0,47709.0
415,2020-10-08,7,0,47709.0
416,2020-10-08,8,0,47709.0
417,2020-10-08,9,210,47919.0
418,2020-10-08,10,4834,52746.0
419,2020-10-08,11,5624,55614.0
420,2020-10-08,12,5904,58654.0
421,2020-10-08,13,1763,59868.0
422,2020-10-08,14,4450,60090.0
423,2020-10-08,15,6389,63811.0
424,2020-10-08,16,3387,63186.0
425,2020-10-08,17,6045,68011.0
426,2020-10-08,18,6402,73784.0
427,2020-10-08,19,2883,74686.0
428,2020-10-08,20,4047,73023.0
429,2020-10-08,21,1869,71151.0
430,2020-10-08,22,222,65020.0
431,2020-10-08,23,508,60890.0
432,2020-10-09,0,0,54818.0
433,2020-10-09,1,0,54537.0
434,2020-10-09,2,0,54537.0
435,2020-10-09,3,0,54537.0
436,2020-10-09,4,0,54537.0
437,2020-10-09,5,0,54537.0
438,2020-10-09,6,0,54537.0
439,2020-10-09,7,0,54537.0
440,2020-10-09,8,0,54537.0
441,2020-10-09,9,0,54327.0
442,2020-10-09,10,5867,55360.0
443,2020-10-09,11,2876,52612.0
444,2020-10-09,12,3782,50490.0
445,2020-10-09,13,3726,52453.0
446,2020-10-09,14,3817,51820.0
447,2020-10-09,15,10023,55454.0
448,2020-10-09,16,8539,60606.0
449,2020-10-09,17,3671,58232.0
450,2020-10-09,18,0,51830.0
451,2020-10-09,19,0,48947.0
452,2020-10-09,20,0,44900.0
453,2020-10-09,21,734,43765.0
454,2020-10-09,22,3761,47304.0
455,2020-10-09,23,4237,51033.0
456,2020-10-10,0,2037,53070.0
457,2020-10-10,1,1466,54536.0
458,2020-10-10,2,230,54766.0
459,2020-10-10,3,0,54766.0
460,2020-10-10,4,0,54766.0
461,2020-10-10,5,0,54766.0
462,2020-10-10,6,0,54766.0
463,2020-10-10,7,0,54766.0
464,2020-10-10,8,0,54766.0
465,2020-10-10,9,0,54766.0
466,2020-10-10,10,0,48899.0
467,2020-10-10,11,25,46048.0
468,2020-10-10,12,2430,44696.0
469,2020-10-10,13,748,41718.0
470,2020-10-10,14,154,38055.0
471,2020-10-10,15,550,28582.0
472,2020-10-10,16,1152,21195.0
473,2020-10-10,17,954,18478.0
474,2020-10-10,18,1,18479.0
475,2020-10-10,19,2470,20949.0
476,2020-10-10,20,2763,23712.0
477,2020-10-10,21,2188,25166.0
478,2020-10-10,22,2874,24279.0
479,2020-10-10,23,943,20985.0
480,2020-10-11,0,0,18948.0
481,2020-10-11,1,0,17482.0
482,2020-10-11,2,0,17252.0
483,2020-10-11,3,0,17252.0
484,2020-10-11,4,0,17252.0
485,2020-10-11,5,0,17252.0
486,2020-10-11,6,0,17252.0
487,2020-10-11,7,0,17252.0
488,2020-10-11,8,0,17252.0
489,2020-10-11,9,1178,18430.0
490,2020-10-11,10,3164,21594.0
491,2020-10-11,11,807,22376.0
492,2020-10-11,12,0,19946.0
493,2020-10-11,13,0,19198.0
494,2020-10-11,14,0,19044.0
495,2020-10-11,15,0,18494.0
496,2020-10-11,16,0,17342.0
497,2020-10-11,17,0,16388.0
498,2020-10-11,18,0,16387.0
499,2020-10-11,19,0,13917.0
500,2020-10-11,20,0,11154.0
501,2020-10-11,21,0,8966.0
502,2020-10-11,22,1633,7725.0
503,2020-10-11,23,3911,10693.0
504,2020-10-12,0,62,10755.0
505,2020-10-12,1,0,10755.0
506,2020-10-12,2,0,10755.0
507,2020-10-12,3,0,10755.0
508,2020-10-12,4,0,10755.0
509,2020-10-12,5,0,10755.0
510,2020-10-12,6,0,10755.0
511,2020-10-12,7,0,10755.0
512,2020-10-12,8,0,10755.0
513,2020-10-12,9,0,9577.0
514,2020-10-12,10,0,6413.0
515,2020-10-12,11,0,5606.0
516,2020-10-12,12,31,5637.0
517,2020-10-12,13,4,5641.0
518,2020-10-12,14,0,5641.0
519,2020-10-12,15,4640,10281.0
520,2020-10-12,16,1646,11927.0
521,2020-10-12,17,1523,13450.0
522,2020-10-12,18,1181,14631.0
523,2020-10-12,19,107,14738.0
524,2020-10-12,20,3120,17858.0
525,2020-10-12,21,3269,21127.0
526,2020-10-12,22,5153,24647.0
527,2020-10-12,23,6268,27004.0
528,2020-10-13,0,1680,28622.0
529,2020-10-13,1,0,28622.0
530,2020-10-13,2,0,28622.0
531,2020-10-13,3,0,28622.0
532,2020-10-13,4,0,28622.0
533,2020-10-13,5,0,28622.0
534,2020-10-13,6,0,28622.0
535,2020-10-13,7,0,28622.0
536,2020-10-13,8,0,28622.0
537,2020-10-13,9,0,28622.0
538,2020-10-13,10,0,28622.0
539,2020-10-13,11,0,28622.0
540,2020-10-13,12,157,28748.0
541,2020-10-13,13,0,28744.0
542,2020-10-13,14,29,28773.0
543,2020-10-13,15,1217,25350.0
544,2020-10-13,16,4995,28699.0
545,2020-10-13,17,5362,32538.0
546,2020-10-13,18,6385,37742.0
547,2020-10-13,19,0,37635.0
548,2020-10-13,20,5500,40015.0
549,2020-10-13,21,1660,38406.0
550,2020-10-13,22,4238,37491.0
551,2020-10-13,23,2496,33719.0
552,2020-10-14,0,0,32039.0
553,2020-10-14,1,0,32039.0
554,2020-10-14,2,0,32039.0
555,2020-10-14,3,0,32039.0
556,2020-10-14,4,0,32039.0
557,2020-10-14,5,0,32039.0
558,2020-10-14,6,0,32039.0
559,2020-10-14,7,0,32039.0
560,2020-10-14,8,0,32039.0
561,2020-10-14,9,0,32039.0
562,2020-10-14,10,6044,38083.0
563,2020-10-14,11,1564,39647.0
564,2020-10-14,12,8104,47594.0
565,2020-10-14,13,7288,54882.0
566,2020-10-14,14,5546,60399.0
567,2020-10-14,15,6332,65514.0
568,2020-10-14,16,3400,63919.0
569,2020-10-14,17,6728,65285.0
570,2020-10-14,18,3360,62260.0
571,2020-10-14,19,0,62260.0
572,2020-10-14,20,0,56760.0
573,2020-10-14,21,0,55100.0
574,2020-10-14,22,0,50862.0
575,2020-10-14,23,0,48366.0
576,2020-10-15,0,0,48366.0
577,2020-10-15,1,0,48366.0
578,2020-10-15,2,0,48366.0
579,2020-10-15,3,0,48366.0
580,2020-10-15,4,0,48366.0
581,2020-10-15,5,0,48366.0
582,2020-10-15,6,0,48366.0
583,2020-10-15,7,0,48366.0
584,2020-10-15,8,0,48366.0
585,2020-10-15,9,0,48366.0
586,2020-10-15,10,0,42322.0
587,2020-10-15,11,0,40758.0
588,2020-10-15,12,1585,34239.0
589,2020-10-15,13,353,27304.0
590,2020-10-15,14,312,22070.0
591,2020-10-15,15,0,15738.0
592,2020-10-15,16,0,12338.0
593,2020-10-15,17,2066,7676.0
594,2020-10-15,18,7202,11518.0
595,2020-10-15,19,918,12436.0
596,2020-10-15,20,2897,15333.0
597,2020-10-15,21,2195,17528.0
598,2020-10-15,22,560,18088.0
599,2020-10-15,23,825,18913.0
600,2020-10-16,0,0,18913.0
601,2020-10-16,1,0,18913.0
602,2020-10-16,2,0,18913.0
603,2020-10-16,3,0,18913.0
604,2020-10-16,4,0,18913.0
605,2020-10-16,5,0,18913.0
606,2020-10-16,6,0,18913.0
