Date,steps,7_day_avg,30_day_avg,365_day_avg
2020-12-13,12098,6408.142857142857,6048.9,
2020-12-14,4094,6314.571428571428,6019.566666666667,
2020-12-15,1034,5395.0,5885.733333333334,
2020-12-16,2245,4816.571428571428,5817.166666666667,
2020-12-17,4211,4303.0,5887.766666666666,
2020-12-18,2345,4068.0,5677.566666666667,
2020-12-19,6968,4713.571428571428,5832.5,
2020-12-20,4019,3559.4285714285716,5748.633333333333,
2020-12-21,3851,3524.714285714286,5499.933333333333,
2020-12-22,4187,3975.1428571428573,5378.5,
2020-12-23,7283,4694.857142857143,5503.933333333333,
2020-12-24,4330,4711.857142857143,5271.133333333333,
2020-12-25,6459,5299.571428571428,5303.066666666667,
2020-12-26,5139,5038.285714285715,5154.6,
2020-12-27,3715,4994.857142857143,5182.766666666666,
2020-12-28,2918,4861.571428571428,5015.766666666666,
2020-12-29,9964,5686.857142857143,5029.466666666666,
2020-12-30,14272,6685.285714285715,5364.766666666666,
2020-12-31,11800,7752.428571428572,5585.233333333334,
2021-01-01,5952,7680.0,5454.333333333333,
2021-01-02,8999,8231.42857142857,5688.633333333333,
2021-01-03,2027,7990.285714285715,5660.6,
2021-01-04,1520,7790.571428571428,5681.4,
2021-01-05,1219,6541.285714285715,5446.933333333333,
2021-01-06,2152,4809.857142857143,5360.366666666667,
2021-01-07,2358,3461.0,5189.933333333333,
2021-01-08,4817,3298.8571428571427,5140.7,
2021-01-09,3502,2513.5714285714284,4997.233333333334,
2021-01-10,3864,2776.0,4993.033333333334,
2021-01-11,3515,3061.0,5028.566666666667,
2021-01-12,5236,3634.8571428571427,4799.833333333333,
2021-01-13,1308,3514.285714285714,4706.966666666666,
2021-01-14,5075,3902.4285714285716,4841.666666666667,
2021-01-15,2338,3548.285714285714,4844.766666666666,
2021-01-16,6354,3955.714285714286,4916.2,
2021-01-17,6635,4351.571428571428,5059.2,
2021-01-18,6538,4783.428571428572,5044.866666666667,5852.904109589041
2021-01-19,4499,4678.142857142857,5060.866666666667,5863.783561643836
2021-01-20,2598,4862.428571428572,5019.1,5855.895890410959
2021-01-21,8279,5320.142857142857,5155.5,5855.358904109589
2021-01-22,5368,5753.0,5091.666666666667,5834.498630136986
2021-01-23,5804,5674.428571428572,5140.8,5827.301369863014
2021-01-24,5055,5448.714285714285,5094.0,5811.728767123288
2021-01-25,1092,4670.714285714285,4959.1,5782.145205479452
2021-01-26,2286,4354.571428571428,4911.466666666666,5770.131506849315
2021-01-27,2096,4282.857142857143,4884.066666666667,5758.443835616438
2021-01-28,1372,3296.1428571428573,4597.666666666667,5746.627397260274
2021-01-29,1759,2780.5714285714284,4180.566666666667,5718.1506849315065
2021-01-30,1324,2140.5714285714284,3831.366666666667,5684.643835616438
2021-01-31,2167,1728.0,3705.2,5645.635616438356
2021-02-01,2472,1925.142857142857,3487.633333333333,5604.8328767123285
2021-02-02,10654,3120.5714285714284,3775.2,5611.054794520548
2021-02-03,4923,3524.4285714285716,3888.633333333333,5603.304109589041
2021-02-04,7314,4373.285714285715,4091.8,5593.290410958904
2021-02-05,4046,4700.0,4154.933333333333,5583.578082191781
2021-02-06,10633,6029.857142857143,4430.766666666666,5599.882191780822
2021-02-07,7687,6818.428571428572,4526.433333333333,5609.101369863014
2021-02-08,4105,7051.714285714285,4546.533333333334,5613.013698630137
2021-02-09,5463,6310.142857142857,4599.833333333333,5613.1972602739725
2021-02-10,7660,6701.142857142857,4738.0,5617.498630136986
2021-02-11,5419,6430.428571428572,4744.1,5616.380821917808
2021-02-12,1319,6040.857142857143,4744.466666666666,5608.068493150685
2021-02-13,6806,5494.142857142857,4802.166666666667,5616.016438356164
2021-02-14,5587,5194.142857142857,4910.466666666666,5620.621917808219
2021-02-15,4417,5238.714285714285,4845.9,5618.632876712329
2021-02-16,6243,5350.142857142857,4832.833333333333,5620.194520547945
2021-02-17,6118,5129.857142857143,4818.833333333333,5621.367123287671
2021-02-18,5279,5109.857142857143,4844.833333333333,5617.276712328767
2021-02-19,1733,5169.0,4816.0,5606.649315068493
2021-02-20,3282,4665.571428571428,4649.433333333333,5589.624657534247
2021-02-21,5659,4675.857142857143,4659.133333333333,5564.5150684931505
2021-02-22,1423,4248.142857142857,4513.1,5551.764383561644
